location,AccHalfAng__DEG,RCR,CR,r_a__m,rr_g,rr_ut,rt_g,rgap,length__m,beta__DEG,T_in__K,intensity__Wh__m2,datetime__now
INDIANAPOLIS INTL AP,78.9510921230541,0.749847040230876,1.09056150985065,0.0499991492003788,1.54927317892744,0.26659700631865,0.799999865347337,1.81194552900822e-07,1.5,28.9261432370587,400,557401.392539211,736077.208930289
PHOENIX SKY HARBOR INTL AP,79.9999985207504,0.749978183738058,1.06116690007468,0.0499999920413508,1.39999967430111,0.200005811468347,0.799999958855184,4.05078260661902e-09,1,30.6889396217109,400,907084.570264874,736077.175129838
PHOENIX SKY HARBOR INTL AP,79.9999985207512,0.749974004225448,1.0611677287826,0.0499999920413322,1.4000065683929,0.200005811422783,0.799999958855183,4.05077605406187e-09,1,30.6891129079197,400,907084.403209804,736077.171814537
PHOENIX SKY HARBOR INTL AP,55.9781940755474,0.999987112099264,1.36324620397686,0.0499999893781077,1.66895030863557,0.200001576425835,0.799999974569755,0.000267997828725368,1,30.6257102153977,500,510846.511290612,736077.163477442
PHOENIX SKY HARBOR INTL AP,55.9781565617431,0.999987112095787,1.36323992970464,0.049999989378105,1.66892794476904,0.20000157642626,0.799999974569781,0.00026799799798456,1,30.6256799424211,500,510846.146997598,736077.155561389
INDIANAPOLIS INTL AP,79.8698936345755,0.750009999310599,1.08373037347561,0.0499999999999659,1.52572228785796,0.200000001917758,0.799999874716116,2.10594443904791e-05,2,28.7012799630275,500,325922.335103364,736078.149982188
LOS ANGELES INTL ARPT,77.0922685260107,0.750009990339145,1.10992260491957,0.049999999702779,1.62051844037088,0.200000009331493,0.799999957454759,3.82866319184074e-07,2,28.709031035069,500,479651.153608412,736078.149809896
ATLANTA HARTSFIELD INTL AP,79.9330421183177,0.750009990708622,1.069988934482,0.0437674607617768,1.4500913588472,0.201126440442052,0.799998982670062,2.00892109691156e-06,2,27.8724517277045,500,376872.09098146,736078.14976544
PHOENIX SKY HARBOR INTL AP,75.4949001482411,0.750009993958343,1.10197933026065,0.0499999999797005,1.54829977684274,0.200000001276569,0.799999244124084,3.15154504613707e-08,2,30.5569511641357,500,659970.992518006,736078.149574792
INDIANAPOLIS INTL AP,79.8698936345755,0.750009999310599,1.08373037347561,0.0499999999999659,1.52572228785796,0.200000001917758,0.799999874716116,2.10594443904791e-05,2,28.7012799630275,500,325922.335103364,736078.148299028
LOS ANGELES INTL ARPT,77.0922685260107,0.750009990339145,1.10992260491957,0.049999999702779,1.62051844037088,0.200000009331493,0.799999957454759,3.82866319184074e-07,2,28.709031035069,500,479651.153608412,736078.148206539
ATLANTA HARTSFIELD INTL AP,79.9330421183177,0.750009990708622,1.069988934482,0.0437674607617768,1.4500913588472,0.201126440442052,0.799998982670062,2.00892109691156e-06,2,27.8724517277045,500,376872.09098146,736078.148183229
PHOENIX SKY HARBOR INTL AP,75.4949001482411,0.750009993958343,1.10197933026065,0.0499999999797005,1.54829977684274,0.200000001276569,0.799999244124084,3.15154504613707e-08,2,30.5569511641357,500,659970.992518006,736078.148079028
LOS ANGELES INTL ARPT,77.0922685260107,0.750009990339145,1.10992260491957,0.049999999702779,1.62051844037088,0.200000009331493,0.799999957454759,3.82866319184074e-07,2,28.709031035069,450,641931.953748782,736078.146551794
PHOENIX SKY HARBOR INTL AP,75.4949001482411,0.750009993958343,1.10197933026065,0.0499999999797005,1.54829977684274,0.200000001276569,0.799999244124084,3.15154504613707e-08,2,30.5569511641357,450,854057.348368441,736078.144898981
PHOENIX SKY HARBOR INTL AP,75.4949001482411,0.750009993958343,1.10197933026065,0.0499999999797005,1.54829977684274,0.200000001276569,0.799999244124084,3.15154504613707e-08,2,30.5569511641357,450,854057.348368441,736078.143306389
LOS ANGELES INTL ARPT,77.1196533332158,0.748966818209526,1.10965151356691,0.0499999997027751,1.62039242748327,0.200000009331553,0.799999957454826,3.81034215760424e-07,2,28.7152580883784,450,641827.715670106,736078.141529398
ATLANTA HARTSFIELD INTL AP,79.9330421183177,0.750009990708622,1.069988934482,0.0437674607617768,1.4500913588472,0.201126440442052,0.799998982670062,2.00892109691156e-06,2,27.8724517277045,450,546543.493443495,736078.139125972
INDIANAPOLIS INTL AP,79.8698936345755,0.750009999310599,1.08373037347561,0.0499999999999659,1.52572228785796,0.200000001917758,0.799999874716116,2.10594443904791e-05,2,28.7012799630275,450,462734.422891406,736078.137853843
ATLANTA HARTSFIELD INTL AP,79.9330421183177,0.750009990708622,1.069988934482,0.0437674607617768,1.4500913588472,0.201126440442052,0.799998982670062,2.00892109691156e-06,2,27.8724517277045,450,546543.493443495,736078.136480243
INDIANAPOLIS INTL AP,79.8698936345763,0.750009984484535,1.08373037175647,0.0499999999999659,1.52572228750871,0.200000001917758,0.799999874716116,2.10594443904816e-05,2,28.7012799630089,450,462734.373501593,736078.135922465
LOS ANGELES INTL ARPT,79.9996907555794,0.544045352259965,1.04439510301777,0.0499998883822391,1.40018368477681,0.312741625520137,0.79962941528675,4.20906462242367e-06,2,28.0165465959711,400,771151.649111937,736078.126887546
